date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2024-07-29,99949.38,99949.38,-0.0,183.4742,0
2024-07-30,99442.99,99442.99,-0.0,183.4742,0
2024-07-31,101059.4,101059.4,-0.0,183.4742,0
2024-08-01,99628.3,99628.3,-0.0,183.4742,0
2024-08-02,97773.38,97773.38,-0.0,183.4742,0
2024-08-05,94925.86,94925.86,-0.0,183.4742,0
2024-08-06,95801.04,95801.04,-0.0,183.4742,0
2024-08-07,95160.7,95160.7,-0.0,183.4742,0
2024-08-08,97360.57,97360.57,-0.0,183.4742,0
2024-08-09,97789.89,97789.89,-0.0,183.4742,0
2024-08-12,97841.27,97841.27,-0.0,183.4742,0
2024-08-13,99450.33,99450.33,-0.0,183.4742,0
2024-08-14,99764.07,99764.07,-0.0,183.4742,0
2024-08-15,101474.05,101474.05,-0.0,183.4742,0
2024-08-16,101701.56,101701.56,-0.0,183.4742,0
2024-08-19,102673.97,102673.97,-0.0,183.4742,0
2024-08-20,102507.01,102507.01,-0.0,183.4742,0
2024-08-21,102859.28,102859.28,-0.0,183.4742,0
2024-08-22,102051.99,102051.99,-0.0,183.4742,0
2024-08-23,103136.33,103136.33,-0.0,183.4742,0
2024-08-26,102890.47,102890.47,-0.0,183.4742,0
2024-08-27,103031.75,103031.75,-0.0,183.4742,0
2024-08-28,102433.62,102433.62,-0.0,183.4742,0
2024-08-29,102442.79,102442.79,-0.0,183.4742,0
2024-08-30,103420.71,103420.71,-0.0,183.4742,0
2024-09-03,101292.42,101292.42,-0.0,183.4742,0
2024-09-04,101085.09,101085.09,-0.0,183.4742,0
2024-09-05,100839.23,100839.23,-0.0,183.4742,0
2024-09-06,99142.09,99142.09,-0.0,183.4742,0
2024-09-09,100252.11,100252.11,-0.0,183.4742,0
2024-09-10,100688.78,100688.78,-0.0,183.4742,0
2024-09-11,101721.74,101721.74,-0.0,183.4742,0
2024-09-12,102578.57,102578.57,-0.0,183.4742,0
2024-09-13,103114.31,103114.31,-0.0,183.4742,0
2024-09-16,103266.6,103266.6,-0.0,183.4742,0
2024-09-17,103308.79,103308.79,-0.0,183.4742,0
2024-09-18,103002.4,103002.4,-0.0,183.4742,0
2024-09-19,104760.07,104760.07,-0.0,183.4742,0
2024-09-20,104259.19,104259.19,-0.0,183.4742,0
2024-09-23,104519.72,104519.72,-0.0,183.4742,0
2024-09-24,104818.78,104818.78,-0.0,183.4742,0
2024-09-25,104573.01,104587.6,6.38,162.2206,1
2024-09-26,104934.49,105002.26,6.38,162.2206,1
2024-09-27,105169.93,104849.97,6.38,162.2206,1
2024-09-30,106255.6,105270.13,6.38,185.1806,0
2024-10-01,105303.77,104327.07,6.38,185.1806,0
2024-10-02,105320.98,104371.11,31.67,142.3582,2
2024-10-03,105883.32,104180.3,31.67,142.3582,2
2024-10-04,106836.66,105127.02,31.67,142.3582,2
2024-10-07,106592.08,104176.62,31.67,187.6724,0
2024-10-08,107599.88,105161.88,31.67,187.6724,0
2024-10-09,108344.94,105890.28,31.67,187.6724,0
2024-10-10,108155.39,105704.97,31.67,187.6724,0
2024-10-11,108802.86,106337.95,31.67,187.6724,0
2024-10-14,109692.43,107207.62,31.67,187.6724,0
2024-10-15,108840.4,106374.65,31.67,187.6724,0
2024-10-16,109313.33,106837.0,31.67,187.6724,0
2024-10-17,109322.71,106846.17,31.67,187.6724,0
2024-10-18,109743.1,107257.16,31.67,187.6724,0
2024-10-21,109562.94,107081.02,31.67,187.6724,0
2024-10-22,109504.76,107024.15,31.67,187.6724,0
2024-10-23,108504.46,106046.23,31.67,187.6724,0
2024-10-24,108739.05,106275.57,31.67,187.6724,0
2024-10-25,108701.51,106238.87,31.67,187.6724,0
2024-10-28,109037.45,106567.3,31.67,187.6724,0
2024-10-29,109213.87,106739.76,31.67,187.6724,0
2024-10-30,108883.56,106416.85,31.67,187.6724,0
2024-10-31,106749.73,104330.75,31.67,187.6724,0
2024-11-01,107200.13,104771.08,31.67,187.6724,0
2024-11-04,106969.3,104545.41,31.67,187.6724,0
2024-11-05,108262.37,105809.55,31.67,187.6724,0
2024-11-06,110953.58,108440.56,31.67,187.6724,0
2024-11-07,111811.25,109279.04,31.67,187.6724,0
2024-11-08,112295.45,109752.41,31.67,187.6724,0
2024-11-11,112402.42,109856.99,31.67,187.6724,0
2024-11-12,112053.35,109515.73,31.67,187.6724,0
2024-11-13,112107.77,109568.93,31.67,187.6724,0
2024-11-14,111387.11,108864.39,31.67,187.6724,0
2024-11-15,109960.8,107469.99,31.67,187.6724,0
2024-11-18,110411.22,107910.33,31.67,187.6724,0
2024-11-19,110814.71,108304.79,31.67,187.6724,0
2024-11-20,110852.24,108341.49,31.67,187.6724,0
2024-11-21,111447.16,108923.1,31.67,187.6724,0
2024-11-22,111792.48,109260.7,31.67,187.6724,0
2024-11-25,112171.59,109631.32,31.67,187.6724,0
2024-11-26,112757.12,110203.76,31.67,187.6724,0
2024-11-27,112415.56,109869.83,31.67,187.6724,0
2024-11-29,113113.69,110552.35,31.67,187.6724,0
2024-12-02,113316.38,110750.51,31.67,187.6724,0
2024-12-03,113368.93,110801.87,31.67,187.6724,0
2024-12-04,114072.7,111489.9,31.67,187.6724,0
2024-12-05,113885.03,111306.43,31.67,187.6724,0
2024-12-06,114100.85,111517.43,31.67,187.6724,0
2024-12-09,113513.44,110943.15,31.67,187.6724,0
2024-12-10,113160.61,110598.22,31.67,187.6724,0
2024-12-11,114035.17,111453.21,31.67,187.6724,0
2024-12-12,113447.76,110878.94,31.67,187.6724,0
2024-12-13,113425.24,110856.92,31.67,187.6724,0
2024-12-16,113909.42,111330.28,31.67,187.6724,0
2024-12-17,113440.24,110871.59,31.67,187.6724,0
2024-12-18,110060.27,107567.23,31.67,187.6724,0
2024-12-19,110026.48,107534.2,31.67,187.6724,0
2024-12-20,110974.24,108460.75,31.67,187.6724,0
2024-12-23,111638.59,109110.25,31.67,187.6724,0
2024-12-24,112879.1,110323.01,31.67,187.6724,0
2024-12-26,112886.62,110330.35,31.67,187.6724,0
2024-12-27,111698.65,109168.96,31.67,187.6724,0
2024-12-30,110424.35,107923.16,31.67,187.6724,0
2024-12-31,110022.73,107530.54,31.67,187.6724,0
2025-01-02,109752.49,107266.33,31.67,187.6724,0
2025-01-03,111124.37,108607.53,31.67,187.6724,0
2025-01-06,111764.33,109233.17,31.67,187.6724,0
2025-01-07,110501.3,107998.39,31.67,187.6724,0
2025-01-08,110662.69,108156.18,31.67,187.6724,0
2025-01-10,108973.64,106504.91,31.67,187.6724,0
2025-01-13,109142.55,106670.04,31.67,187.6724,0
2025-01-14,109292.69,106816.82,31.67,187.6724,0
2025-01-15,111280.14,108759.82,31.67,187.6724,0
2025-01-16,111066.19,108550.65,31.67,187.6724,0
2025-01-17,112180.97,109640.49,31.67,187.6724,0
2025-01-21,113207.53,110644.09,31.67,187.6724,0
2025-01-22,113843.74,111266.07,31.67,187.6724,0
2025-01-23,114464.94,111873.37,31.67,187.6724,0
2025-01-24,114130.88,111546.78,31.67,187.6724,0
2025-01-27,112516.9,109968.9,31.67,187.6724,0
2025-01-28,113483.41,110913.8,31.67,187.6724,0
2025-01-29,112974.82,110416.58,31.67,187.6724,0
2025-01-30,113581.0,111009.2,31.67,187.6724,0
2025-01-31,112976.7,110418.42,31.67,187.6724,0
2025-02-03,112216.63,109675.35,31.67,187.6724,0
2025-02-04,112969.19,110411.08,31.67,187.6724,0
2025-02-05,113427.1,110858.75,31.67,187.6724,0
2025-02-06,113821.22,111244.05,31.67,187.6724,0
2025-02-07,112779.64,110225.77,31.67,187.6724,0
2025-02-10,113545.34,110974.34,31.67,187.6724,0
2025-02-11,113631.67,111058.74,31.67,187.6724,0
